announced_at_utc,channel_name,symbol,exchange,is_success,pump_date_utc,label,label_numeric,reason_codes,source_repo,source_url,notes
2021-10-02T10:43:02Z,Binance Moon Pump™,YOYO,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-02T11:03:10Z,Binance Moon Pump™,QLC,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-02T17:32:40Z,Binance Moon Pump™,GXS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-03T16:51:28Z,Binance Royal Pump,EVX,Binance,1,2021-10-03T15:52:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-03T17:00:07Z,WallStreetBets Events 🛸,EZ,Binance,1,2021-10-03T17:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-05T12:54:56Z,Binance Moon Pump™,GTO,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-05T15:00:06Z,Big Pumps Binance™,SKY,Binance,1,2021-10-05T15:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-05T18:15:52Z,Binance Moon Pump™,QLC,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-07T05:27:32Z,Binance Mega Pump 360™,BTCST,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-07T05:39:41Z,Binance Moon Pump™,ANT,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-08T04:25:06Z,Binance Moon Pump™,ACM,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-08T12:10:53Z,Binance Moon Pump™,QSP,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-08T12:40:07Z,Binance whales pumps,VIB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-08T15:42:54Z,Binance Moon Pump™,SKY,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-08T16:17:35Z,Binance Moon Pump™,NAV,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-09T06:27:43Z,Binance Moon Pump™,ADX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-09T13:13:41Z,Binance Moon Pump™,POA,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-09T14:38:12Z,Binance Moon Pump™,NXS,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-09T17:20:57Z,Binance Royal Pump,VIB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-10T05:31:16Z,Binance whales pumps,VIB,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-10-10T17:00:05Z,Crypto Binance Trading | Signals & Pumps,WNXM,Binance,1,2021-10-10T17:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
